,Handle,Date,Text,Compound,Positive,Neutral,Negative
0,@BBC,Thu Mar 08 20:33:04 +0000 2018,"Jack Jarvis and Victor McDade are back for another hilarious six-part series. 

#StillGame | 9:30pm | @BBCOne |… https://t.co/zFtd4VQyKL",0.4019,0.144,0.856,0.0
1,@BBC,Thu Mar 08 20:03:04 +0000 2018,"Lucy and Lee are back! 🙌🎉

#NotGoingOut | 9pm | @BBCOne | https://t.co/dUnnFaIoci https://t.co/gSpTMCPrSC",0.0,0.0,1.0,0.0
2,@BBC,Thu Mar 08 18:00:06 +0000 2018,"What advice would YOU give your younger self? 🤔

#InternationalWomensDay #IWD2018 https://t.co/vIwPLtzTbO",0.0,0.0,1.0,0.0
3,@BBC,Thu Mar 08 17:30:11 +0000 2018,"In recognition of International Women’s Day, a playlist in celebration of the funniest, saddest and most significan… https://t.co/4WCrxvJxFY",-0.1027,0.159,0.664,0.177
4,@BBC,Thu Mar 08 17:00:09 +0000 2018,"🔬 More than half of the UK can't name a famous woman in science. 

Time to change that. 
👉 https://t.co/3HVhvFaxaT… https://t.co/KL0D1vIw8S",0.0,0.0,1.0,0.0
5,@BBC,Thu Mar 08 16:30:05 +0000 2018,"✍️🙌 Lotte Reiniger is the unsung heroine of early animation. 

#InternationalWomensDay #IWD2018 https://t.co/Z4qDFWXcCS",0.5719,0.236,0.764,0.0
6,@BBC,Thu Mar 08 16:05:42 +0000 2018,"RT @BBCMOTD: Favourite emoji?
Champions League or World Cup?

@TekkerzKid quizzes @ManUtd striker @MarcusRashford for #BBCOwnIt.

📺 Check o…",0.5803,0.181,0.819,0.0
7,@BBC,Thu Mar 08 15:30:09 +0000 2018,"⚽️🥅 The story of the fall and rise of women's football, told through 10 objects collected by the National… https://t.co/xOi8wNW64N",0.0,0.0,1.0,0.0
8,@BBC,Thu Mar 08 15:09:13 +0000 2018,"RT @bbcmusic: 🙌 @Camila_Cabello just dropped the video for 'Never Be The Same' 💕
What do you think?

Watch 👉 https://t.co/gv60m6x9Wk https:…",0.0,0.0,1.0,0.0
9,@BBC,Thu Mar 08 15:00:05 +0000 2018,"Nine-year-old Lola thinks more girls should take up skateboarding.

Lola is rad. 🤘😝

#InternationalWomensDay… https://t.co/EeOygOVfoh",0.0,0.0,1.0,0.0
10,@BBC,Thu Mar 08 14:30:02 +0000 2018,"🎨🖼 #AnnieSwynnerton: The woman who forced open the male art world and blazed a trail for female artists.
👉… https://t.co/rHDoqWL4iI",-0.4588,0.0,0.857,0.143
11,@BBC,Thu Mar 08 13:30:05 +0000 2018,"🎓🎒 These women are pushing young girls into school, not marriage. 

#InternationalWomensDay #IWD2018 https://t.co/TIf5lbu3GZ",0.0,0.0,1.0,0.0
12,@BBC,Thu Mar 08 13:09:22 +0000 2018,"RT @bbcworldservice: In Senegal, graffiti artist Zeinixx is campaigning for women's rights... with spray paint. 🇸🇳 https://t.co/cy2ddCmEKo",0.0,0.0,1.0,0.0
13,@BBC,Thu Mar 08 13:02:03 +0000 2018,"RT @bbc5live: “That was the end of my childhood”

Money saving expert @MartinSLewis opens up to @tonylivesey about the death of his mum, th…",-0.5994,0.0,0.855,0.145
14,@BBC,Thu Mar 08 13:00:08 +0000 2018,🎤 🎧Grime through time: A brief history of one of the biggest music genres to come out of the UK https://t.co/876CsOCFsa,0.0,0.0,1.0,0.0
15,@BBC,Thu Mar 08 12:34:42 +0000 2018,"RT @BBCRadio4: Ten female authors who changed sci-fi: https://t.co/r5s1mqYrQD
#IWD2018 https://t.co/cQxHsT9c3E",0.0,0.0,1.0,0.0
16,@BBC,Thu Mar 08 12:30:04 +0000 2018,"Thousands of women in the UK can't afford to buy tampons and towels. 

#InternationalWomensDay #IWD2018 https://t.co/66P7IrZ9lB",0.0,0.0,1.0,0.0
17,@BBC,Thu Mar 08 12:00:02 +0000 2018,"👷👷‍♀️ Building future engineers - it's a lot easier than you think! 

#BitzAndBob | @CbeebiesHQ https://t.co/YV3kTIj0Dx",0.4753,0.205,0.795,0.0
18,@BBC,Thu Mar 08 11:46:51 +0000 2018,"RT @BBCR1: 💛💛💛 

Who's ready for @thegreatkhalid in the Live Lounge?

Make sure you're listening to @claraamfo at 12pm 👉 https://t.co/48Ruy…",0.5859,0.211,0.789,0.0
19,@BBC,Thu Mar 08 11:00:05 +0000 2018,"Life advice from one of our all-time favourite women, @DawnFrenchUK.  

#InternationalWomensDay #IWD2018 https://t.co/MAOUgpWb7J",0.0,0.0,1.0,0.0
20,@BBC,Thu Mar 08 10:54:28 +0000 2018,RT @bbcthree: Happy International Women’s Day! Here's @StaceyDooley with some top tips for aspiring broadcasters #IWD2018 https://t.co/Rbq7…,0.6996,0.279,0.721,0.0
21,@BBC,Thu Mar 08 10:32:59 +0000 2018,RT @bbcarts: Clay artist @_PhoebeCummings launches her new incredible new work on #InternationalWomensDay. Audiences can watch as the sculp…,0.0,0.0,1.0,0.0
22,@BBC,Thu Mar 08 09:57:10 +0000 2018,"RT @BBCRadio4: Who are the women that inspire you the most?
From Dawn_French to @Leomie_Anderson, @ScarlettMoffatt to @saoirse_ronan, women…",0.5719,0.171,0.829,0.0
23,@BBC,Thu Mar 08 09:30:12 +0000 2018,👔 The story behind Oscar winner James Ivory’s Timothee Chalamet shirt: https://t.co/CY4AJusVEg https://t.co/ANiWIYVSsu,0.5859,0.257,0.743,0.0
24,@BBC,Thu Mar 08 09:04:01 +0000 2018,"🔧 Who built the world? Girls! 

#InternationalWomensDay #IWD2018 https://t.co/6QY6CDcp1h",0.0,0.0,1.0,0.0
25,@BBC,Thu Mar 08 08:30:00 +0000 2018,🎧 @BBCR1's @ClaraAmfo gives aspiring DJs advice and tells us about who inspires her this #InternationalWomensDay.… https://t.co/FvBtbQ9cs1,0.4404,0.162,0.838,0.0
26,@BBC,Thu Mar 08 08:00:05 +0000 2018,"💪 A brief history of #feminism. 

#InternationalWomensDay #IWD2018 https://t.co/EGm8W4OKJ2",0.0,0.0,1.0,0.0
27,@BBC,Thu Mar 08 07:30:06 +0000 2018,"For more than a century people around the world have been marking #InternationalWomensDay. Here's why.
👉… https://t.co/rkKYo23Qfo",0.0,0.0,1.0,0.0
28,@BBC,Wed Mar 07 19:12:02 +0000 2018,"'Harry was looking at his family for the first time in his life'. 

💛⚡️✨ David Thewlis reading #HarryPotter is trul… https://t.co/wAyCDFvrX2",0.0,0.0,1.0,0.0
29,@BBC,Wed Mar 07 18:23:04 +0000 2018,"✂️ ‘My hair is a symbol of pride.’

💇🏽💇🏿💇🏾 Six stories about black women's hair.
👉 https://t.co/NfNvGpKpVi https://t.co/V1qrRJzwfu",0.0,0.0,1.0,0.0
30,@BBC,Wed Mar 07 17:42:01 +0000 2018,The little mouse that inspired Pikachu is actually a rabbit! https://t.co/AxOQOaK4dS,0.4987,0.264,0.736,0.0
31,@BBC,Wed Mar 07 17:27:29 +0000 2018,"RT @BBCTwo: If you haven't seen #ACSVersace yet, Penélope Cruz as Donatella Versace is everything... https://t.co/lH9kfRGqO2",0.0,0.0,1.0,0.0
32,@BBC,Wed Mar 07 17:22:51 +0000 2018,"RT @BBCBreakfast: In many ways Hedy Lamarr was the archetypal Hollywood starlet, but the Austrian born actress was also an inventor and the…",0.0,0.0,1.0,0.0
33,@BBC,Wed Mar 07 17:22:23 +0000 2018,RT @BBCScotlandNews: A Scottish school has won a prestigious award for its pioneering work helping children with their reading and writing…,0.8555,0.37,0.63,0.0
34,@BBC,Wed Mar 07 17:16:45 +0000 2018,RT @bbceurovision: A storm is coming.@surieofficial  ⛈ 👉 https://t.co/LYIiBgcZdA https://t.co/heOKLnjo2N,0.0,0.0,1.0,0.0
35,@BBC,Wed Mar 07 17:14:49 +0000 2018,RT @BBCTwo: Nostalgia heaven! How many of these 80s &amp; 90s things can you remember? 🤔 #BackInTimeForTea https://t.co/l0R6nHrTj1,0.5562,0.183,0.817,0.0
36,@BBC,Wed Mar 07 17:13:49 +0000 2018,"📖 Time to 'embiggen' your vocabulary.

A new word, first heard on @TheSimpsons in 1996, has been added to the… https://t.co/qGvkGgjAcB",0.0,0.0,1.0,0.0
37,@BBC,Wed Mar 07 16:15:06 +0000 2018,RT @bbccomedy: WOOF! ❤️#RikMayallDay https://t.co/ioJtvYVFRO,0.0,0.0,1.0,0.0
38,@BBC,Wed Mar 07 14:30:03 +0000 2018,😱 The most hardcore baptism you’ll ever see. https://t.co/aEsVqMUPQ2,0.0,0.0,1.0,0.0
39,@BBC,Wed Mar 07 13:24:05 +0000 2018,"#InternationalWomensDay is tomorrow, so there's no better time to test how much you know about female suffrage.
👉… https://t.co/6ulqfr8zyL",0.1742,0.14,0.751,0.109
40,@BBC,Wed Mar 07 12:30:04 +0000 2018,🚂💀 All aboard London's Victorian railway for the dead. https://t.co/L7vJO4ybeD,-0.6369,0.082,0.597,0.321
41,@BBC,Wed Mar 07 11:42:44 +0000 2018,"😍 The first polar bear cub to be born in the UK for 25 years has emerged at the @RZSS's @HighlandWPark!
👉… https://t.co/4fhzBaxwjF",0.0,0.0,1.0,0.0
42,@BBC,Wed Mar 07 11:07:18 +0000 2018,"RT @bbccomedy: Today would have been the 60th birthday of the legend, the genius, the king Rik Mayall. We miss you, sir! #RikMayallDay http…",-0.2244,0.0,0.924,0.076
43,@BBC,Wed Mar 07 10:46:56 +0000 2018,The wreck of a US aircraft carrier that was sunk during WW2 has been found off the coast of Australia. https://t.co/8NQfRdFXTE,-0.4404,0.0,0.868,0.132
44,@BBC,Wed Mar 07 10:41:15 +0000 2018,RT @BBCFOUR: There's a very good reason this extreme firework was banned... https://t.co/pdfpcDiJ4h,0.4927,0.225,0.775,0.0
45,@BBC,Wed Mar 07 09:58:38 +0000 2018,"RT @CBeebiesHQ: 3 out of 4 parents wouldn’t be able to save their baby from choking. 

Learn how to help in a first aid emergency…https://t…",0.4404,0.211,0.681,0.108
46,@BBC,Wed Mar 07 09:00:07 +0000 2018,A moving story of how one woman transformed Alzheimer’s research forever. ❤️https://t.co/2fwJDbWT8x,0.0,0.0,1.0,0.0
47,@BBC,Wed Mar 07 08:46:22 +0000 2018,RT @BBCOne: They've smashed the record for the highest profit EVER on Antiques Road Trip! 😲 https://t.co/TNuRcp2EOq,0.4926,0.175,0.825,0.0
48,@BBC,Wed Mar 07 08:46:14 +0000 2018,"RT @bbc5live: What happens to your old paint?

A scheme in Leeds to recycle unused paint has saved hundreds of tons of leftovers from endin…",0.4215,0.109,0.891,0.0
49,@BBC,Wed Mar 07 08:45:50 +0000 2018,"RT @BBCTwo: When this father and daughter paddled into the sea, they had no idea how much danger they were in... #SavingLivesAtSea https://…",-0.6808,0.0,0.789,0.211
50,@BBC,Wed Mar 07 08:44:59 +0000 2018,"RT @cbbc: There are over 128,000 children in the UK without a home.

Watch CBBC's powerful documentary about homeless children on @BBCiPlay…",0.4215,0.123,0.877,0.0
51,@BBC,Wed Mar 07 08:30:07 +0000 2018,"Dirty water kills millions every year. 

But one ingenious invention can remove dangerous microbes as they flow tow… https://t.co/isjxUnr3Dp",-0.8591,0.0,0.627,0.373
52,@BBC,Wed Mar 07 08:00:04 +0000 2018,"La Dame de Brassempouy is a beautiful 25,000 year-old representation of a female face. 
#Civilisations https://t.co/aKGUlvJFGF",0.5994,0.231,0.769,0.0
53,@BBC,Tue Mar 06 19:30:06 +0000 2018,"😂🙊 Who has a filthier mouth, Jennifer Lawrence or James McAvoy? https://t.co/lOfGcHVo6R",0.0,0.0,1.0,0.0
54,@BBC,Tue Mar 06 18:30:07 +0000 2018,"A diver swims through a thick soup of plastic waste near Bali.
https://t.co/W8GJNKq8rm",-0.4215,0.0,0.781,0.219
55,@BBC,Tue Mar 06 18:03:04 +0000 2018,"Every day around the UK, an army of unpaid volunteers put their lives on the line to try and save complete stranger… https://t.co/W3Fel1iPSK",0.4939,0.127,0.873,0.0
56,@BBC,Tue Mar 06 17:30:07 +0000 2018,"Impressive and terrifying in equal measure. 

This woman doesn't just sleepwalk... she sleep-drives too. https://t.co/Ovwb4dNaYJ",-0.1027,0.165,0.65,0.185
57,@BBC,Tue Mar 06 17:25:44 +0000 2018,RT @bbcwritersroom: New #Brexit #comedy Soft Border Patrol is set on the border between #NorthernIreland and the Republic of #Ireland. We p…,0.0,0.0,1.0,0.0
58,@BBC,Tue Mar 06 17:02:04 +0000 2018,🐧 Scientists have stumbled across a huge group of previously unknown Adélie penguins on the most northerly point of… https://t.co/3GQ8PlQyMY,0.3182,0.119,0.881,0.0
59,@BBC,Tue Mar 06 15:30:10 +0000 2018,"Too many Lego bricks is a problem many parents will sympathise with, but now the toy firm itself has admitted it ha… https://t.co/4J0whItWAN",-0.0644,0.068,0.853,0.079
60,@BBC,Tue Mar 06 14:44:33 +0000 2018,RT @bbccomedy: Nothing says welcome to the neighbourhood quite like everyone's favourite busybody 😂#TwoDoorsDown https://t.co/dClRm13dm9,0.6997,0.308,0.692,0.0
61,@BBC,Tue Mar 06 14:30:05 +0000 2018,"🍻 Cheers to that! 

Pubs will be allowed to stay open later than usual to give everyone a chance to celebrate Princ… https://t.co/K7toUnOwSG",0.8439,0.336,0.664,0.0
62,@BBC,Tue Mar 06 13:48:06 +0000 2018,"Tickets, food wrappers and posters provide a fascinating insight into the creativity of North Korea, and the image… https://t.co/oe4tZwlBJw",0.7269,0.276,0.724,0.0
63,@BBC,Tue Mar 06 13:12:33 +0000 2018,"RT @bbcthree: No you can't cure depression with meditation, kale or by simply cheering up. https://t.co/gsM8lRX6N2",0.6246,0.293,0.605,0.102
64,@BBC,Tue Mar 06 13:11:26 +0000 2018,RT @BBCScotlandNews: A giant three-dimensional concrete map of Scotland is to be officially unveiled next month in the Borders https://t.co…,0.0,0.0,1.0,0.0
65,@BBC,Tue Mar 06 13:10:12 +0000 2018,"👟♻️ British designer Anna Bullus is on a mission to recycle chewing gum into useful objects, cleaning up our street… https://t.co/WbBeJSXXqF",0.4404,0.132,0.868,0.0
66,@BBC,Tue Mar 06 12:30:05 +0000 2018,What happened to the beautiful Opal Reef that was one of the stars of David Attenborough's #BluePlanet2? https://t.co/RMNYfrBbdK,0.5994,0.187,0.813,0.0
67,@BBC,Tue Mar 06 10:18:16 +0000 2018,"RT @BBCSportWales: We could watch this all day! 

Welcome to the wonderful world of football analogies - starring @SwansOfficial manager Ca…",0.7901,0.28,0.72,0.0
68,@BBC,Tue Mar 06 09:00:05 +0000 2018,🐒❤️ This baby chimp is being flown to a new home in DR Congo after it was rescued from poachers. https://t.co/rUZzDVLBt8,0.4215,0.128,0.872,0.0
69,@BBC,Tue Mar 06 08:30:10 +0000 2018,💍🙅 Crippling costs and parents' split-ups could be to blame for the declining number of marriages between men and w… https://t.co/avVWNgx3jH,-0.2732,0.057,0.837,0.106
70,@BBC,Tue Mar 06 08:03:02 +0000 2018,"We've all heard thunder before, but what does lightning sound like? ⚡️🤔https://t.co/3BGKK7iukQ",0.5023,0.228,0.772,0.0
71,@BBC,Mon Mar 05 19:30:07 +0000 2018,😂 Who actually watched the #Oscars? https://t.co/opThFzy37n,0.0,0.0,1.0,0.0
72,@BBC,Mon Mar 05 18:38:04 +0000 2018,"No meat. No fish. No eggs. No milk. No cheese. How hard is it to go vegan for a month? 

🥦🥑🍏 Nesta McGregor investi… https://t.co/1UBRGqIOp6",-0.8555,0.0,0.592,0.408
73,@BBC,Mon Mar 05 17:23:22 +0000 2018,"Like father, like daughter.

😂🔥 @GordonRamsay's daughter has already mastered the art of the roast. https://t.co/0dqwntX5uj",0.6124,0.263,0.737,0.0
74,@BBC,Mon Mar 05 17:15:34 +0000 2018,RT @BBCFOUR: The little mouse that inspired Pikachu is actually... a rabbit. https://t.co/mHCFFXczka,0.4472,0.211,0.789,0.0
75,@BBC,Mon Mar 05 17:00:31 +0000 2018,"""I made a promise to our six-year-old lead actress that I would sign this speech. My hands are shaking a little bit… https://t.co/HgFpUtHDTB",0.1531,0.105,0.818,0.077
76,@BBC,Mon Mar 05 14:48:43 +0000 2018,"RT @BBCRadio4: As it's Hexagonal Phase approaches, a brief history of the Hitchhiker's Guide: https://t.co/Ehp9AfMyn8 #h2g2 https://t.co/9F…",0.0,0.0,1.0,0.0
77,@BBC,Mon Mar 05 14:43:13 +0000 2018,RT @BBCFOUR: How did Julius Caesar hide his bald patch? https://t.co/SME5Dfwifj,-0.1779,0.0,0.855,0.145
78,@BBC,Mon Mar 05 14:42:36 +0000 2018,"RT @BBC_Teach: Thursday is #InternationalWomensDay

Reflecting on The Representation of the People Act with your class? @gemcairn traces th…",0.0,0.0,1.0,0.0
79,@BBC,Mon Mar 05 14:11:28 +0000 2018,"RT @bbc5live: When you almost (accidentally) kill @Harry_Styles on the set of Dunkirk… 😳

 #Oscars https://t.co/G127l5yPkY",-0.6621,0.0,0.76,0.24
80,@BBC,Mon Mar 05 14:07:00 +0000 2018,"RT @cbbc: Which football clubs charge the most for their pies? Take the imPIErative quiz here ⚽️🍴 👉 https://t.co/xlSch4HVvl

#BritishPieWee…",0.0,0.0,1.0,0.0
81,@BBC,Mon Mar 05 13:17:03 +0000 2018,"🐶💛 Little Ivor the Staffordshire puppy is deaf, but since learning sign language his life has changed for the bette… https://t.co/vL83oBTAIL",0.0,0.0,1.0,0.0
82,@BBC,Mon Mar 05 13:07:19 +0000 2018,RT @BBCFood: #MeatFreeMonday + #BritishPieWeek = Lancashire cheese and onion pie 🙌 🥧🧀 https://t.co/07cH2MESmI https://t.co/G79WTJJnKr,0.0,0.0,1.0,0.0
83,@BBC,Mon Mar 05 12:34:04 +0000 2018,"What is the best way to cope with adult acne? @BBCWomansHour asked dermatologist @DrAnjaliMahto to find out... 
📻👉… https://t.co/DxHxgWTslT",0.6369,0.189,0.811,0.0
84,@BBC,Mon Mar 05 12:33:12 +0000 2018,"RT @bbcgetinspired: It was a feat some doctors said was impossible. Then Roger Bannister came along.

The first man to run a four-minute mi…",0.0,0.0,1.0,0.0
85,@BBC,Mon Mar 05 11:54:02 +0000 2018,"🐋🏊 What an experience!  
This is what it's like to go swimming with whales... 
#AmazingHotels https://t.co/ji90J6Olsj",0.4199,0.157,0.843,0.0
86,@BBC,Mon Mar 05 11:37:55 +0000 2018,"❤️ Just adorable. 
How would you react if your daughter won an Oscar? 
#TheSilentChild #Oscars https://t.co/ienD3dDtKX",0.7845,0.33,0.67,0.0
87,@BBC,Mon Mar 05 11:00:11 +0000 2018,"This year's #Oscars have been handed out at the 90th annual Academy Awards in Hollywood. Find out who won, and who… https://t.co/ZxfsMpDVwd",0.7717,0.251,0.749,0.0
88,@BBC,Mon Mar 05 10:42:57 +0000 2018,"RT @BBCCornwall: It's #StPiransDay - so cheers to everyone! #GoolPeranLowen 🌮

Bit of fun .. complete this sentence ""You know you're #Corni…",0.8384,0.345,0.655,0.0
89,@BBC,Mon Mar 05 10:42:50 +0000 2018,"RT @BBC6Music: 🥟 Gool Peran Lowen / Happy #StPiransDay to all of our 
‘ansom Cornish listeners. 

To celebrate Gwenno is in session for @la…",0.8126,0.27,0.73,0.0
90,@BBC,Mon Mar 05 10:09:20 +0000 2018,"RT @BBCRD: Available now! 📲 Download the #Civilisations Augmented Reality app @BBCTaster to explore classic art, objects, and artefacts fro…",0.0,0.0,1.0,0.0
91,@BBC,Mon Mar 05 09:58:23 +0000 2018,RT @BBCRadio2: What'sthe first leg of @ZoeTheBall's epic Sport Relief challenge? 🚲 She updates @achrisevans on #HardestRoadHome @sportrelie…,0.5267,0.227,0.773,0.0
92,@BBC,Mon Mar 05 09:30:07 +0000 2018,🎭🎬#Oscars outfits designed to dazzle - all the red carpet glamour from the 90th Academy Awards in pictures… https://t.co/iMBBXl75k0,0.7506,0.286,0.714,0.0
93,@BBC,Mon Mar 05 09:00:05 +0000 2018,😍 A rare pure-white stoat! https://t.co/VoR9jXJmk4,0.0,0.0,1.0,0.0
94,@BBC,Mon Mar 05 08:30:04 +0000 2018,"Many personality traits can be observed but there are other hidden forces that shape who we are.
👉… https://t.co/aTsldl7s1z",0.0,0.0,1.0,0.0
95,@BBC,Mon Mar 05 08:00:04 +0000 2018,"🐝🍯 How honey is collected.
#AmazingHotels https://t.co/UIJKlsamx5",0.0,0.0,1.0,0.0
96,@BBC,Sun Mar 04 20:11:35 +0000 2018,RT @BBCNewsbeat: Miss Piggy has some strong feelings about this year's #Oscars selection 🙈😂 https://t.co/vzHGz8PtmD,0.4019,0.184,0.726,0.089
97,@BBC,Sun Mar 04 19:00:05 +0000 2018,Sloths have survived for more than 60 million years - what makes them so successful?  https://t.co/H4BAA5kAOL,0.8468,0.386,0.614,0.0
98,@BBC,Sun Mar 04 18:59:39 +0000 2018,RT @BBCWorld: Watch this baby chimp being flown to a new home in DR Congo after it was rescued from poachers 🐒❤️ https://t.co/mZfGI8h6Gc,0.4215,0.118,0.882,0.0
99,@BBC,Sun Mar 04 18:00:09 +0000 2018,"🎬🏆 So you've got the critical acclaim, you've got the industry buzz, you might even have a Golden Globe in your dow… https://t.co/WdGFOHrFMZ",-0.3182,0.0,0.901,0.099
100,@CBS,Thu Mar 08 18:00:49 +0000 2018,Today and every day we celebrate the women in our lives who empower and inspire us. Share a story about an influent… https://t.co/9rVtqrElvT,0.8625,0.336,0.664,0.0
101,@CBS,Thu Mar 08 17:03:04 +0000 2018,Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post… https://t.co/7ShhvE48zy,0.4926,0.132,0.868,0.0
102,@CBS,Wed Mar 07 18:39:10 +0000 2018,"RT @thegoodfight: Meticulously constructed. Soapy &amp; sexy. Intoxicating, savage television. 🔥 Here's what critics are saying about #TheGoodF…",-0.2023,0.15,0.619,0.23
103,@CBS,Wed Mar 07 17:06:02 +0000 2018,"This just in! @Jason_Aldean, @mirandalambert, @LukeBryanOnline, and many more are set to perform at the 53rd Academ… https://t.co/mfxw2VxzU4",0.0,0.0,1.0,0.0
104,@CBS,Tue Mar 06 18:10:59 +0000 2018,"Meet the ensemble of talented actors slated to join $1, a new mystery series coming to CBS All Access:… https://t.co/QoyYv7vxwg",0.6705,0.244,0.756,0.0
105,@CBS,Mon Mar 05 22:16:43 +0000 2018,"Will @Jason_Aldean, @garthbrooks, @LukeBryanOnline, @ChrisStapleton, or @KeithUrban be named Entertainer Of The Yea… https://t.co/rMD8zjeX3s",0.3818,0.167,0.833,0.0
106,@CBS,Sun Mar 04 08:05:26 +0000 2018,"RT @thegoodfight: It feels good to be back. 👠💄🔥 The season 2 premiere of #TheGoodFight is now streaming, exclusively on CBS All Access: htt…",0.4404,0.116,0.884,0.0
107,@CBS,Sat Mar 03 20:55:20 +0000 2018,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…",0.0,0.0,1.0,0.0
108,@CBS,Fri Mar 02 22:30:01 +0000 2018,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes",0.7096,0.247,0.753,0.0
109,@CBS,Fri Mar 02 20:30:01 +0000 2018,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3",0.7096,0.282,0.718,0.0
110,@CBS,Fri Mar 02 18:45:00 +0000 2018,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO",0.4939,0.151,0.849,0.0
111,@CBS,Thu Mar 01 18:59:01 +0000 2018,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY,-0.6981,0.0,0.79,0.21
112,@CBS,Thu Mar 01 18:12:57 +0000 2018,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…",0.4547,0.159,0.749,0.092
113,@CBS,Thu Mar 01 18:11:50 +0000 2018,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF,0.8591,0.538,0.462,0.0
114,@CBS,Thu Mar 01 18:10:50 +0000 2018,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…,0.4885,0.234,0.615,0.151
115,@CBS,Thu Mar 01 14:36:21 +0000 2018,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…",0.5994,0.178,0.822,0.0
116,@CBS,Thu Mar 01 14:29:20 +0000 2018,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…",0.7717,0.325,0.675,0.0
117,@CBS,Thu Mar 01 14:15:29 +0000 2018,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ",0.6908,0.275,0.725,0.0
118,@CBS,Thu Mar 01 13:50:11 +0000 2018,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01",0.0,0.0,1.0,0.0
119,@CBS,Thu Mar 01 01:04:52 +0000 2018,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA,0.0,0.0,1.0,0.0
120,@CBS,Wed Feb 28 19:56:58 +0000 2018,"RT @CBSThisMorning: TOMORROW: The nominees for the 2018 @ACMawards will be announced live by the one-and-only, @Reba! 

Watch on @CBS in ou…",0.0,0.0,1.0,0.0
121,@CBS,Wed Feb 28 19:08:30 +0000 2018,"RT @thegoodfight: From the set design and costumes to hair and makeup, the production quality is truly next-level. Take a peek inside the u…",0.4404,0.116,0.884,0.0
122,@CBS,Tue Feb 27 03:23:47 +0000 2018,RT @LivinBiblically: The fun continues on Facebook! The #LivingBiblically cast is live to talk about tonight’s premiere. Tune in here: http…,0.5562,0.152,0.848,0.0
123,@CBS,Mon Feb 26 22:50:32 +0000 2018,"RT @KevinCanWaitCBS: Can you get all the way through these #KevinCanWait bloopers without laughing?! @KevinJames,@LeahRemini and the rest o…",0.0,0.0,1.0,0.0
124,@CBS,Mon Feb 26 21:08:30 +0000 2018,"RT @ACMawards: That’s right! @Reba is headed to @CBSThisMorning on Thursday, March 1 to announce this year’s #ACMAwards' nominees. Tune in…",0.0,0.0,1.0,0.0
125,@CBS,Mon Feb 26 19:53:41 +0000 2018,"RT @ScorpionCBS: You can't hack your way to a 197 IQ, but you are well on your way with these Genius Facts from #TeamScorpion! 💻 You can be…",0.4482,0.105,0.895,0.0
